"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         197,      -4.563837703,       -4.37899126,      -4.696109396,      -4.657528944,      -4.100234637,      -8.636901487
          0,           0,         198,      -4.674669338,      -4.365661657,      -4.706861653,      -4.671318131,      -4.231062299,      -8.639900631
          0,           0,         199,      -4.662318031,      -4.358445796,      -4.708830653,      -4.644663148,        -4.2670808,      -8.639474687
          0,           0,         200,       -4.58100771,      -4.341633219,      -4.693075383,      -4.632668316,      -4.173921636,      -8.646544524
          0,           0,         201,      -4.616351091,      -4.329117076,      -4.683459139,      -4.732661468,      -4.184045303,      -8.645244382
          0,           0,         202,      -4.428016696,      -4.330727957,       -4.70471007,      -4.718902174,      -3.961064665,       -8.62950467
          0,           0,         203,      -4.380482221,      -4.322966574,      -4.718222899,      -4.728042979,       -3.91167226,       -8.61933175
          0,           0,         204,      -4.478777875,      -4.309216906,      -4.727380108,       -4.70431428,      -4.018632911,      -8.627759913
          0,           0,         205,      -4.472265951,      -4.301934117,      -4.727723127,      -4.574877251,      -4.030195462,      -8.637554845
          0,           0,         206,      -4.485204179,      -4.304171927,      -4.718578991,      -4.564846961,       -4.05031832,      -8.645539489
          0,           0,         207,      -4.501474262,      -4.303091704,      -4.710768042,      -4.627611328,      -4.055800255,      -8.646081108
          0,           0,         208,      -4.326374056,       -4.31353879,       -4.72685061,      -4.605397813,      -3.863780687,      -8.647945942
          0,           0,         209,      -4.501387982,      -4.322558191,      -4.732899676,      -4.616829743,      -4.047799617,      -8.663939821
          0,           0,         210,       -4.55118853,      -4.319772115,      -4.735235411,      -4.554431838,      -4.133645728,       -8.67683839
          0,           0,         211,      -4.503449566,      -4.302893547,      -4.724843678,      -4.592777618,      -4.087747992,      -8.692169697
          0,           0,         212,      -4.507659414,      -4.290575257,      -4.706841199,      -4.698600133,      -4.073481144,      -8.700084676
          0,           0,         213,       -4.48938289,      -4.294211004,      -4.704834678,      -4.747923355,      -4.039423648,      -8.699510383
          0,           0,         214,      -4.515637149,      -4.291857164,      -4.688801657,      -4.705234495,      -4.065087211,      -8.713852939
          0,           0,         215,      -4.612817339,      -4.277854076,      -4.673248304,      -4.643861859,      -4.200186181,      -8.727324966
          0,           0,         216,      -4.567877282,      -4.249716343,      -4.633599043,       -4.60028873,      -4.139643068,      -8.743544703
          0,           0,         217,      -4.487677066,      -4.221291527,      -4.590735856,      -4.579336906,      -4.036623762,      -8.758765266
          0,           0,         218,      -4.387899758,      -4.201498658,      -4.553723423,      -4.654696726,      -3.922754396,      -8.746311642
          0,           0,         219,      -4.268483726,      -4.179393669,      -4.518935055,      -4.608184596,      -3.794548942,      -8.733585389
          0,           0,         220,      -4.401769234,      -4.151081341,      -4.478302219,      -4.530660013,      -3.923758425,      -8.726553177
          0,           0,         221,      -4.565284073,      -4.140586745,      -4.446985357,      -4.528745468,      -4.080407106,      -8.703203485
          0,           0,         222,      -4.591957257,      -4.124782355,      -4.424277567,      -4.512879941,      -4.127919006,      -8.677901674
          0,           0,         223,      -4.573387312,      -4.113612423,      -4.415209404,      -4.578619844,       -4.12655946,      -8.649369654
          0,           0,         224,      -4.515380467,      -4.101741843,      -4.408780468,      -4.601891097,      -4.082213699,      -8.629400935
          0,           0,         225,       -4.41589334,      -4.081018778,      -4.395873333,      -4.538122153,      -3.988741668,      -8.652721707
          0,           0,         226,      -4.322429559,      -4.075331726,      -4.388334854,      -4.433350314,      -3.887177788,      -8.659552087
          0,           0,         227,      -4.212006489,      -4.061482628,      -4.373406919,       -4.46053224,       -3.77514204,        -8.6648319
          0,           0,         228,      -4.135921229,      -4.071302356,      -4.365322161,      -4.375388599,      -3.693632363,      -8.690347926
          0,           0,         229,       -4.15121302,      -4.091190174,      -4.370414839,      -4.353823878,      -3.706062577,      -8.701911317
          0,           0,         230,      -4.157501051,        -4.1029713,      -4.365992775,      -4.352595943,      -3.712748938,      -8.697524132
          0,           0,         231,      -4.071810432,       -4.08454457,      -4.345117008,      -4.063939809,      -3.625256224,      -8.666473015
          0,           0,         232,      -4.042914378,      -4.087045462,      -4.294478252,      -4.147884924,      -3.597155583,      -8.622778672
          0,           0,         233,      -4.039539354,      -4.102762918,      -4.268190902,      -4.064767057,      -3.593785876,      -8.567763827
          0,           0,         234,      -3.841597624,      -4.022455556,      -4.173472217,       -4.02448528,      -3.395205472,      -8.509102906
          0,           0,         235,      -3.802184356,      -3.935850284,      -4.105704472,       -4.00826995,      -3.365199356,      -8.475676189
          0,           0,         236,      -3.895180265,      -3.919471868,      -4.119220441,      -4.041780434,      -3.465732989,      -8.462991295
          0,           0,         237,      -3.877681072,      -3.904276962,      -4.118009778,      -4.125267101,      -3.443879488,       -8.47080097
