"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Skin_Friction_Coefficient_z","Heat_Flux","Y_Plus","Eddy_Viscosity"
1709, 7.237824341560191e-01, 1.244486080608739e+00, -9.890890416424866e-03, 6.892590789227214e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.626215407119232e+05, 0.000000000000000e+00, 6.504861628476927e+04, 3.287652542593880e+02, 0.000000000000000e+00, -6.240288547349047e-01, 1.978966123293456e-05, 7.355229906464027e-07, 6.271402957464311e-07, -2.937083203595039e-07, -8.638076041428565e+00, 2.039075194871878e+03, 0.000000000000000e+00
1710, 3.059584894670309e-01, 0.000000000000000e+00, 4.164002647833627e-01, 1.004120063807282e+00, 3.525239610807294e+02, -2.444682062815486e+01, 4.451090084230130e+01, 2.549562722631228e+05, 4.301883724885793e-05, 7.671620559333514e+04, 2.661532750865255e+02, 1.084546756421101e+00, -3.723761226580294e-01, 1.681158868894567e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.954634145288022e-06
1711, 1.398513521679910e+00, 1.475329049952159e+00, -1.974655280202987e-03, 8.276175130123384e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.952644953458615e+05, 0.000000000000000e+00, 7.810579813834459e+04, 3.287637669259695e+02, 0.000000000000000e+00, -3.424046563013455e-01, 1.978959396247772e-05, 4.101451632260988e-06, -1.725713131398250e-06, 5.675759179824443e-07, -5.378330659369744e+00, 1.129551244192908e+02, 0.000000000000000e+00
1712, 1.307565406791589e+00, 1.174247089036691e+00, 2.762327317620711e-03, 8.507663544142591e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.007267001311864e+05, 0.000000000000000e+00, 8.029068005247456e+04, 3.287646960877266e+02, 0.000000000000000e+00, -2.952799685517949e-01, 1.978963598746121e-05, 6.660195555510644e-07, 7.154842096298775e-07, -5.755788226725995e-08, -7.078976933346271e+00, 7.754218557761776e+02, 0.000000000000000e+00
1713, 2.828153551325926e+00, 0.000000000000000e+00, -2.139511897841260e-01, 1.091622966112501e+00, 2.504297494038301e+02, 5.052599050996003e+00, 5.809801614738995e-01, 2.657648190473444e+05, 5.897155733835804e-05, 9.481094672731783e+04, 3.025632416341618e+02, 6.580302662672219e-01, 1.790081649061732e-02, 1.858019697569564e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 6.701802344221139e-06
1714, 1.217188417420893e+00, 1.307175949878876e+00, 1.680996301480692e-02, 8.146039956148814e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.921949015681207e+05, 0.000000000000000e+00, 7.687796062724828e+04, 3.287650656238839e+02, 0.000000000000000e+00, -3.688873046053109e-01, 1.978965270116631e-05, 4.490532001069662e-07, 1.218341215817419e-07, -3.759373451469379e-08, -8.691597008558809e-01, 4.811468029658874e+02, 0.000000000000000e+00
1715, 9.642487690213682e-01, 1.335035591114859e-02, 4.889130575430666e-03, 7.752204832644995e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.829029569943495e+05, 0.000000000000000e+00, 7.316118279773979e+04, 3.287651872122249e+02, 0.000000000000000e+00, -4.490527330054932e-01, 1.978965820046828e-05, 7.280706709401500e-07, -3.351220598666299e-07, -1.017770864005217e-07, -8.483097528265696e-01, 1.941099347175471e+02, 0.000000000000000e+00
1716, 3.147794130464860e+00, 0.000000000000000e+00, -8.582583107614397e+00, 1.135524598859162e+00, 3.250918624217423e+02, -1.032207780110115e-01, 1.647582866810741e+01, 2.812421270880167e+05, 4.723354573456775e-05, 9.383478350454402e+04, 2.878708266100339e+02, 8.427891427312177e-01, -3.153587762680218e-03, 1.787950331706512e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.761559522084738e-06
1717, -2.489772865288842e-02, 0.000000000000000e+00, -3.295607764709700e-01, 1.265134183055408e+00, 3.094635511415067e+02, -3.692875710472249e+00, -9.026577708402922e+01, 3.102272754766165e+05, 5.823808397450590e-05, 1.076611529805915e+05, 2.964509057496170e+02, 7.382560997047269e-01, 2.950608557982700e-01, 1.829074303926686e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.137779924846216e-05
1718, 1.495721914397821e-02, 1.093418704041247e-02, 1.584591873495625e-02, 1.282191526500426e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.025150515050371e+05, 0.000000000000000e+00, 1.210060206020148e+05, 3.287641256948535e+02, 0.000000000000000e+00, 5.828900129035773e-01, 1.978961018921417e-05, 3.042842336193758e-06, 7.612677026532464e-07, 2.074555557242785e-06, -2.791099916698580e+01, 8.066326934990004e+02, 0.000000000000000e+00
1719, -3.882128803471119e-02, 0.000000000000000e+00, -4.942853801406955e-02, 1.424837633689000e+00, 2.226980214048152e+02, 1.577092651906007e+00, 1.470976849862866e+00, 3.411447520280052e+05, 6.986419546546888e-05, 1.294958360033924e+05, 3.166071887542155e+02, 4.381896479504379e-01, 7.660028380196000e-01, 1.923461217570440e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.778996352714650e-05
1720, 1.288121742821892e+00, 1.211851909741100e+00, 6.464875662824685e-03, 8.022208768458118e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.892731452348760e+05, 0.000000000000000e+00, 7.570925809395040e+04, 3.287648479358691e+02, 0.000000000000000e+00, -3.940944984575710e-01, 1.978964285538318e-05, 3.686572038037972e-07, 7.607742837127742e-10, -4.430134693963662e-08, -3.523750310106195e+00, 3.003077835933302e+02, 0.000000000000000e+00
1721, -6.600959725631697e-01, 0.000000000000000e+00, -2.384760502023408e+01, 1.135899273818946e+00, 3.237790004106881e+02, -4.431870238844939e-02, 1.727040200544122e+01, 2.812222724248729e+05, 4.726180240774221e-05, 9.397826946525686e+04, 2.882159206569083e+02, 8.387218825085043e-01, -5.880673524438834e-05, 1.789615668375331e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.765019872101508e-06
1722, 1.278108740878822e+00, 1.049559835060743e+00, -2.072832668075919e-03, 1.193805209645961e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.816623891631339e+05, 0.000000000000000e+00, 1.126649556652535e+05, 3.287651127188464e+02, 0.000000000000000e+00, 4.029855164172669e-01, 1.978965483121787e-05, 1.805623651922485e-07, -3.273983682397585e-08, 2.348571238200874e-08, -4.469081689031975e-01, 4.388208310892013e+02, 0.000000000000000e+00
1723, 8.052720590632134e-01, 0.000000000000000e+00, -4.759391966707938e-01, 1.072245619171653e+00, 3.946248093619363e+02, 4.206302462001203e+00, -1.522361950787049e+01, 2.737635213672103e+05, 4.237538849894657e-05, 8.041166566812736e+04, 2.612492925457103e+02, 1.136740290514688e+00, -2.926704868571764e-01, 1.656482444183882e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.477134037532035e-06
1724, -1.464819565133212e+00, 0.000000000000000e+00, 9.767934395881923e-01, 1.170579229227275e+00, 3.261224306777035e+02, 2.460971244008158e+00, 9.103724792879877e+00, 2.891732717754080e+05, 4.888880695923902e-05, 9.748262449127978e+04, 2.901060224448923e+02, 8.162705741672289e-01, 7.552497438212470e-02, 1.798719857672575e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.724493643597645e-06
1725, -3.173640448355002e-01, 0.000000000000000e+00, 1.384200502086259e+00, 1.155935435234853e+00, 3.178349946297774e+02, 3.321582593397382e-02, 1.545032194982882e+01, 2.852417897319727e+05, 4.882029058535991e-05, 9.657708732592493e+04, 2.910521899713866e+02, 8.049082520777925e-01, 5.599387025837942e-02, 1.803266601056801e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.451407910175294e-06
1726, 8.849028806179149e-02, 0.000000000000000e+00, -1.576088902677952e-01, 1.406879782832219e+00, 3.483004688640274e+02, 1.541404819225628e+01, -7.183325285632519e+01, 3.448013566439931e+05, 5.755255870925451e-05, 1.199075145005771e+05, 2.969065354721498e+02, 7.324722026833549e-01, 5.591968527897769e-01, 1.831241916696320e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.575145428328764e-05
