"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
1616, -3.385992746846967e-01, 1.751880643088367e-01, 1.042359330633395e+00, 9.184579154756497e-01, 5.483030898734215e-02, 3.055519085646220e+00, 1.059773955122311e+00, 1.016706930112416e+00, 7.398648650192997e-01, 1.334240069694450e-01
1617, -3.403476791533626e-01, 1.097595688701147e-01, 1.046194632777720e+00, 9.154958798960477e-01, 4.867766817423673e-02, 3.065080776528803e+00, 1.065354326773289e+00, 1.018313699378000e+00, 7.339257648916095e-01, 1.458801936903763e-01
1618, 6.617428462500634e-01, 6.179711591342428e-01, 8.966256545188102e-01, 9.703225755624822e-01, -5.748590127279016e-02, 2.679057530631458e+00, 8.608705037269566e-01, 9.601225432133746e-01, 9.350577772677134e-01, -3.105569113237577e-01
1619, 5.579253628762879e-01, 5.910678887055726e-01, 8.180208139040424e-01, 9.803248385550195e-01, -3.515425554028832e-02, 2.474900179259153e+00, 7.546915811189223e-01, 9.225823698997605e-01, 1.055159503314378e+00, -5.475634350024058e-01
1620, 6.372662170291210e-01, 5.252704543593645e-01, 8.640998192967739e-01, 9.656127100323877e-01, -7.031402406865982e-02, 2.591763460800446e+00, 8.197508272599391e-01, 9.486760776400496e-01, 9.722197537541152e-01, -4.023419034376361e-01
1621, 9.400122815501325e-01, 2.572095991469174e-01, 1.022776867252663e+00, 9.054295601337757e-01, -5.601629884663721e-02, 2.999216520613447e+00, 1.038763822357375e+00, 1.015630931453950e+00, 7.438259877766661e-01, 8.652638919056815e-02
1622, 8.965567410571780e-01, 2.530247766642950e-01, 1.016641044135259e+00, 9.077132177590072e-01, -6.325239556771597e-02, 2.983310100699337e+00, 1.030445676079182e+00, 1.013578668718480e+00, 7.513462674196005e-01, 6.795909839103034e-02
1623, 9.212620644594733e-01, 2.151721022581248e-01, 1.023226493667927e+00, 8.962312961289419e-01, -6.275499892141226e-02, 2.998232038665329e+00, 1.041523498302117e+00, 1.017881675999808e+00, 7.355254779702823e-01, 9.268638013865378e-02
1624, 9.785096468938769e-01, 4.741413666362962e-01, 1.006823669586624e+00, 9.326229643846401e-01, -3.968288520079526e-02, 2.962919271342991e+00, 1.012076758970384e+00, 1.005217486976560e+00, 7.815404103359912e-01, 2.695705127317924e-02
1625, 1.051522335826849e+00, 5.067718412547485e-01, 1.010205868419121e+00, 9.318757245492976e-01, -3.025001702520177e-02, 2.971752942241153e+00, 1.016596172023605e+00, 1.006325743894642e+00, 7.775771668630086e-01, 3.704502683840397e-02
1626, 5.898360069897051e-01, -7.244488967861304e-01, 9.744058602552348e-01, 9.587070522784009e-01, 3.403598235298044e-02, 2.882785820765065e+00, 9.642243189741820e-01, 9.895510262239332e-01, 8.364431675268846e-01, -7.985643086120084e-02
1627, 5.001063828679835e-01, -3.008968155522187e-01, 9.330196474691514e-01, 9.715325080015648e-01, 4.583512481744485e-02, 2.775994078044307e+00, 9.076202780640489e-01, 9.727772405715149e-01, 8.932614959528633e-01, -2.062047364641767e-01
1628, 4.465564159483928e-01, -3.577980810856363e-01, 9.258259578696795e-01, 9.727765987775856e-01, 3.591288538753357e-02, 2.757081136403017e+00, 8.981321999590280e-01, 9.700875119397444e-01, 9.022149977651848e-01, -2.273834822343125e-01
1629, -5.568918410379804e-01, -9.296835686531969e-02, 1.029904021105751e+00, 9.282477226468205e-01, 2.918851079973155e-02, 3.024006858195199e+00, 1.042112222591365e+00, 1.011853727372097e+00, 7.576329529240543e-01, 9.400049685572558e-02
1630, -5.819994496032024e-01, -2.815375797499243e-01, 1.027015286966239e+00, 9.300252214797499e-01, 2.295770908981545e-02, 3.016611462075290e+00, 1.038102990565889e+00, 1.010796045336777e+00, 7.614726548992924e-01, 8.505131822743073e-02
1631, -6.978099736104788e-01, -2.079638499704755e-01, 1.022659401277549e+00, 9.327698156530811e-01, 2.639994617048080e-02, 3.005578306749720e+00, 1.031938753137920e+00, 1.009073746204043e+00, 7.677005868370582e-01, 7.129185968285728e-02
1632, 1.031749719325535e+00, -3.654004619492019e-01, 1.023821716495328e+00, 9.312949944146431e-01, 4.563075861164832e-02, 3.008527860175096e+00, 1.033578346279953e+00, 1.009529617928035e+00, 7.660552006909157e-01, 7.495166580346664e-02
1633, 9.693126364150617e-01, -3.657866543203170e-01, 1.018559912837159e+00, 9.340507808691650e-01, 5.242432066179410e-02, 2.995130437362697e+00, 1.026201867543659e+00, 1.007502705152821e+00, 7.733565010050915e-01, 5.848631148138084e-02
1634, 6.674860774124014e-01, -3.168148457216688e-01, 9.679724630298983e-01, 9.586005352547570e-01, 6.300997249880469e-02, 2.865924484753620e+00, 9.556856002754768e-01, 9.873065988716645e-01, 8.441523045631629e-01, -9.891607081366795e-02
1635, 8.313170322779840e-01, -8.193252162709037e-01, 9.954780546228016e-01, 9.485937704767230e-01, 3.715151472426108e-02, 2.936618127456223e+00, 9.935864285467734e-01, 9.980997812385277e-01, 8.067340789749122e-01, -1.431600770809516e-02
1636, 7.934993326114577e-01, -6.977808111848891e-01, 9.927371893079279e-01, 9.502393496281643e-01, 4.140904554314502e-02, 2.929743475105938e+00, 9.896397814067546e-01, 9.968799316329304e-01, 8.110082009365602e-01, -2.312548793135141e-02
1637, -2.045240539671107e-02, -2.954242383523489e-01, 1.031899129281435e+00, 9.250463159166140e-01, -6.145155401596979e-02, 3.028985485371587e+00, 1.045010667582354e+00, 1.012706220917203e+00, 7.545302370014085e-01, 1.004702401391827e-01
1638, -3.796919293498784e-01, -4.715624045792493e-01, 1.030294389165165e+00, 9.279903227244929e-01, 8.995942153695325e-03, 3.024889613661504e+00, 1.042771208703957e+00, 1.012109955824278e+00, 7.567015986549167e-01, 9.547144799990333e-02
1639, 2.045804538687574e-01, -6.015647566614116e-01, 9.667564221675893e-01, 9.623923996472592e-01, -1.275594902955225e-02, 2.863180558319399e+00, 9.536289460982306e-01, 9.864211131487234e-01, 8.471846266957316e-01, -1.035068167450211e-01
1640, 2.905263947496378e-01, -6.859228622413195e-01, 9.634223496474386e-01, 9.634708846282012e-01, 2.514771365649008e-03, 2.854536956403321e+00, 9.491095853150798e-01, 9.851438319470205e-01, 8.515487552331418e-01, -1.135946756359826e-01
1641, 8.066987453112175e-01, 2.742915216871529e-01, 9.998025753510531e-01, 9.216771373353008e-01, -7.299926722923100e-02, 2.941624165285687e+00, 1.005652379334441e+00, 1.005850959106936e+00, 7.792766284059212e-01, 1.261691815723528e-02
1642, 6.865343161720719e-01, 3.044366383797092e-01, 9.776921461710629e-01, 9.423574835737299e-01, -8.346353790688948e-02, 2.887905935407931e+00, 9.720773831437695e-01, 9.942571257739130e-01, 8.201568877745816e-01, -6.232726976837177e-02
1643, 6.352384755117328e-01, 2.849965313801428e-01, 8.470797986111006e-01, 9.445271307495491e-01, -8.842740636573081e-02, 2.540572581194597e+00, 8.037458854604892e-01, 9.488431748441373e-01, 9.716813069998294e-01, -4.380672199542653e-01
1644, 6.631698619749135e-01, 2.547335439313099e-01, 9.523551196614873e-01, 9.170945198819938e-01, -9.344353812335529e-02, 2.813152128171852e+00, 9.467992594380267e-01, 9.941661885269903e-01, 8.204732207533610e-01, -1.187516530401191e-01
1645, -4.366399837162158e-01, 3.896662881820399e-01, 1.023105212559114e+00, 9.313202890262146e-01, 5.399415348579616e-02, 3.006714517804757e+00, 1.032561984336231e+00, 1.009243205548198e+00, 7.670885230438421e-01, 7.268300075051473e-02
1646, -3.485582763018207e-01, 4.113010222681615e-01, 1.023244296436598e+00, 9.307257543493389e-01, 6.300391871332772e-02, 3.007082824482108e+00, 1.032742775688181e+00, 1.009282709207040e+00, 7.669459248009874e-01, 7.308655287540469e-02
1647, -2.230713920571943e-01, -3.078624807578917e-01, 1.047944425294692e+00, 9.159691277164703e-01, -5.121280986038160e-03, 3.069622723994657e+00, 1.067721195370520e+00, 1.018871964579864e+00, 7.318558498302393e-01, 1.511633825234820e-01
