"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
11502, 1.099080229062490e+00, 3.250369837078254e-01, 9.340943433301632e-02, 1.052635830907250e+00, 9.573675434278254e-01, 8.994919539717964e-03, -4.403477120718709e-02, 3.167762173506449e+00, 1.092576783640931e+00, 1.024102097234381e+00, 7.553142234693351e-01, 1.581217808389850e-01
11503, 9.348996220853962e-01, 0.000000000000000e+00, 7.415535991856359e-02, 1.011960216775881e+00, 9.808299088568464e-01, 1.337237448217412e-03, -9.343181060810106e-02, 3.062549558502174e+00, 1.033162755217205e+00, 1.007336890740988e+00, 8.143770292989762e-01, 3.929372399153275e-02
11504, 9.468023589616203e-01, 3.753319957830377e-02, 9.763895154470476e-02, 1.019230445787280e+00, 9.815446326161255e-01, -2.070463560576434e-03, -8.995093342857276e-02, 3.082697246303351e+00, 1.042439906706075e+00, 1.009132230316904e+00, 8.081674157620133e-01, 5.784802696927339e-02
11505, 9.598887095986584e-01, 0.000000000000000e+00, 1.166006258726782e-01, 1.023402328293476e+00, 9.858593706316179e-01, 6.077353449179102e-04, -7.114326864922639e-02, 3.094964260989838e+00, 1.047057775922755e+00, 1.009470617109067e+00, 8.069941591718401e-01, 6.708376540263263e-02
11506, 1.049963456779303e+00, 7.256346332186039e-02, 2.029179243143658e-01, 1.029644459372410e+00, 9.909311837230468e-01, -6.937463603718910e-04, -4.149067995516423e-02, 3.113110730132532e+00, 1.054175120606884e+00, 1.010171035926068e+00, 8.045627348143191e-01, 8.131845477089207e-02
11507, 1.045382746064291e+00, 0.000000000000000e+00, 1.582672983383020e-01, 1.039110638187747e+00, 9.937322403914447e-01, 7.065531221524244e-04, -4.325010431825865e-02, 3.140018290019505e+00, 1.065580079489510e+00, 1.011797818118867e+00, 7.989000904474236e-01, 1.041283725361435e-01
11508, 1.003325556468127e+00, 0.000000000000000e+00, 1.396661627564129e-01, 1.039336136946915e+00, 9.930926269522683e-01, 2.592330101997921e-03, -5.722020991123682e-02, 3.140659785677703e+00, 1.065851245428192e+00, 1.011835717900003e+00, 7.987679042680539e-01, 1.046707044135076e-01
11509, 9.748871019169338e-01, 4.561937774201181e-02, 1.347261569884531e-01, 1.024539869538911e+00, 9.846553373275219e-01, -1.555234543648775e-03, -7.062421104150468e-02, 3.097760603301939e+00, 1.048865411141158e+00, 1.010090617153646e+00, 8.048421004792240e-01, 7.069903583944016e-02
11510, 9.564958744821423e-01, 1.103563220946819e-01, 1.032026217793811e-01, 1.016815227127933e+00, 9.738732823964147e-01, -5.487627870559205e-04, -8.198924931954600e-02, 3.073738049426082e+00, 1.041623975747457e+00, 1.010737462968750e+00, 8.025935329605940e-01, 5.621616505203698e-02
11511, 9.784350646604744e-01, 1.050157531480179e-01, 1.618368482079096e-01, 1.017839877688155e+00, 9.839801006556467e-01, -1.587354455611306e-03, -6.474714175125980e-02, 3.078987629060584e+00, 1.040521470826027e+00, 1.008651226168748e+00, 8.098335828990619e-01, 5.401115520917710e-02
11512, 1.010634758410993e+00, 5.482879811571530e-02, 1.665533472985415e-01, 1.029899159574306e+00, 9.859130075300860e-01, -2.583336292044833e-03, -5.415487768916598e-02, 3.112606150767304e+00, 1.055710548778042e+00, 1.011392186035742e+00, 8.003140911533542e-01, 8.438931111320837e-02
