"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         231,      -1.624452542,       1.445207113,       1.554306167,       5.514537672,      -1.839526859
          0,           0,         232,       -1.62279616,       1.446330715,       1.556030172,       5.516274377,      -1.838071838
          0,           0,         233,      -1.620621091,       1.447125095,       1.559403898,       5.518838482,      -1.836256618
          0,           0,         234,      -1.617827215,       1.447547618,       1.564151622,       5.522415963,       -1.83448154
          0,           0,         235,       -1.61531028,        1.44701741,       1.568777907,       5.526020426,      -1.832740706
          0,           0,         236,      -1.613120738,       1.445537878,       1.573157566,       5.529471363,      -1.831195864
          0,           0,         237,      -1.611376255,       1.443155633,       1.577091993,       5.532507084,      -1.829902519
          0,           0,         238,      -1.610101629,       1.440307013,       1.580481755,       5.535021669,      -1.828763249
          0,           0,         239,      -1.609125057,       1.437091375,       1.583210953,       5.537231495,      -1.827933272
          0,           0,         240,      -1.608654982,       1.433658321,       1.585058878,       5.538770705,      -1.827438762
          0,           0,         241,      -1.608737866,       1.430352594,       1.585932041,       5.539507718,      -1.827324684
          0,           0,         242,      -1.609271975,       1.428058714,       1.586005092,       5.539499372,      -1.827552113
          0,           0,         243,      -1.610257891,       1.426091322,        1.58525205,       5.538730799,      -1.828128107
          0,           0,         244,      -1.611704037,       1.424495068,       1.583613762,       5.537185042,      -1.829054243
          0,           0,         245,      -1.613593642,       1.423585891,       1.581134564,       5.534875288,      -1.830324322
          0,           0,         246,      -1.615790881,       1.423958223,       1.578103859,       5.531925302,      -1.831786403
          0,           0,         247,      -1.618035301,       1.425652647,       1.574904582,       5.528659369,      -1.833392573
          0,           0,         248,      -1.620250706,       1.428332387,       1.571643061,       5.525140225,      -1.835031736
          0,           0,         249,      -1.622244629,       1.431740525,       1.568342865,        5.52160346,      -1.836671924
          0,           0,         250,      -1.623888899,       1.436021657,       1.565346943,       5.518266459,      -1.837871631
          0,           0,         251,       -1.62472752,       1.440296351,       1.562820356,       5.515942046,      -1.838719699
          0,           0,         252,      -1.624862256,       1.443653492,       1.560877599,       5.514674603,      -1.839216477
          0,           0,         253,      -1.624581959,       1.445981678,       1.559709672,       5.514122059,      -1.839098223
          0,           0,         254,      -1.623582491,        1.44763632,       1.559813991,       5.514651779,      -1.838590345
          0,           0,         255,       -1.62223996,       1.448652171,       1.561362681,       5.515802729,      -1.837639329
          0,           0,         256,       -1.62059068,        1.44912163,       1.564160291,       5.517588816,      -1.836117269
          0,           0,         257,      -1.618305743,       1.449854382,       1.568493938,        5.52021805,      -1.834519425
          0,           0,         258,      -1.615795364,       1.450581361,       1.573416879,        5.52345375,      -1.832906115
          0,           0,         259,      -1.613484137,       1.450446315,       1.578096525,       5.526784803,       -1.83141936
          0,           0,         260,      -1.611510154,       1.449415895,       1.582334564,       5.529920794,      -1.830164514
          0,           0,         261,      -1.610001511,       1.447524146,       1.585915754,       5.532587956,      -1.829034042
          0,           0,         262,      -1.608847207,       1.444967731,       1.588699821,       5.534934397,      -1.828162452
          0,           0,         263,      -1.608172784,       1.441953382,       1.590538713,       5.536724656,      -1.827600074
          0,           0,         264,      -1.608047311,       1.438796767,        1.59140166,       5.537780221,       -1.82737374
          0,           0,         265,       -1.60846558,       1.435726457,       1.591290944,       5.538041907,      -1.827448801
          0,           0,         266,      -1.609389301,       1.432811189,        1.59025484,       5.537519013,      -1.827848838
          0,           0,         267,      -1.610711542,       1.431077985,         1.5885469,       5.536293842,      -1.828593514
          0,           0,         268,      -1.612346582,       1.430407935,       1.586459937,       5.534440386,      -1.829653092
          0,           0,         269,      -1.614243412,       1.430415791,       1.583986264,       5.532016823,      -1.831015033
          0,           0,         270,      -1.616352618,       1.430986269,        1.58115187,       5.529078231,      -1.832552206
          0,           0,         271,      -1.618511181,        1.43206031,       1.578175758,       5.525820325,       -1.83403939
          0,           0,         272,      -1.620464371,       1.433502043,       1.575115856,       5.522569495,      -1.835576494
          0,           0,         273,      -1.622213623,       1.435169636,       1.572112201,       5.519345565,      -1.836840358
          0,           0,         274,       -1.62344561,       1.437013055,       1.569326325,       5.516692406,      -1.837807869
          0,           0,         275,      -1.624000197,       1.438680169,       1.566991718,       5.514975003,      -1.838518592
          0,           0,         276,      -1.624135906,       1.440008547,       1.565234356,       5.513921042,      -1.838709271
          0,           0,         277,      -1.623636922,       1.441695976,       1.564728728,       5.513697594,      -1.838483228
          0,           0,         278,      -1.622646516,       1.443552861,        1.56563618,       5.514260153,      -1.837922033
          0,           0,         279,      -1.621323894,       1.445776504,       1.567906527,       5.515406426,       -1.83694983
          0,           0,         280,      -1.619626221,       1.448021278,       1.571406761,       5.517147939,      -1.835515314
          0,           0,         281,      -1.617253089,       1.450119182,       1.576120282,       5.519872801,      -1.833942183
          0,           0,         282,      -1.614839745,       1.451039875,       1.580945986,       5.523018441,      -1.832369686
          0,           0,         283,      -1.612665364,       1.450713756,       1.585352318,        5.52619008,      -1.830959997
          0,           0,         284,      -1.610841002,       1.450271361,       1.589280642,       5.529108063,        -1.8296955
          0,           0,         285,      -1.609408986,       1.449363317,       1.592457411,       5.531690053,      -1.828565753
          0,           0,         286,      -1.608326451,       1.448123511,        1.59480286,       5.533941786,      -1.827698989
          0,           0,         287,      -1.607717084,       1.446586622,       1.596354172,       5.535589329,      -1.827151654
          0,           0,         288,      -1.607624779,       1.444893112,       1.596967545,       5.536532997,       -1.82695892
          0,           0,         289,      -1.608072671,       1.442979935,       1.596588933,       5.536692275,      -1.827127442
          0,           0,         290,      -1.609014712,       1.441002238,       1.595330762,       5.536089516,       -1.82764322
          0,           0,         291,      -1.610413181,       1.439181641,       1.593294051,       5.534741559,      -1.828519105
          0,           0,         292,      -1.612226395,        1.43781698,       1.590578638,       5.532659262,      -1.829724999
          0,           0,         293,      -1.614292287,       1.437856013,       1.587524386,       5.529992068,      -1.831216908
          0,           0,         294,      -1.616542927,       1.438559802,       1.584220295,       5.526811704,      -1.832793193
          0,           0,         295,      -1.618717098,        1.43955547,       1.581000108,       5.523435276,      -1.834332947
