"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoE]"   ,     "rms[nu]"    ,"Linear_Solver_Iterations",    "LinSolRes"   ,     "Avg CFL"    ,       "CD"       ,       "CL"       
         105,    0.005769168311,      -4.372300561,      -3.930245296,      -9.331864757,                         5,     -0.5086102265,                 5,     0.07285346954,       0.286247847
         106,    0.005766303636,       -4.25578559,        -3.8181471,      -9.334831974,                         4,     -0.6282624336,               5.5,      0.0735833506,      0.2852880542
         107,     0.00577099963,      -4.399199731,      -3.961023968,      -9.338002488,                         5,     -0.4351132845,                 5,     0.07346753563,      0.2852723276
         108,    0.005774263734,      -4.409855549,      -3.967682169,      -9.341694435,                         5,     -0.5981810196,                 5,     0.07356493888,      0.2854294773
         109,    0.005779981418,       -4.36335428,      -3.926263561,      -9.339797373,                         5,     -0.5407012393,                 5,     0.07324871823,      0.2828682001
         110,    0.005778131495,      -4.319900035,      -3.885565214,      -9.338475299,                         4,     -0.6727702663,               5.5,     0.07304016957,       0.283214459
         111,    0.005781689205,      -4.446483492,      -4.009769187,      -9.341796731,                         5,     -0.3498373301,                 5,     0.07336735895,      0.2840399405
         112,    0.005781166938,      -4.398479983,      -3.954901906,      -9.343614699,                         4,     -0.6221340134,               5.5,     0.07338575723,      0.2830545887
         113,    0.005773595614,      -4.356666729,      -3.911079564,      -9.347568866,                         3,     -0.6316467313,              6.05,     0.07328368698,      0.2810435281
         114,    0.005777759087,      -4.405071024,      -3.955130524,      -9.349831006,                         5,     -0.3377262049,                 5,     0.07327181333,      0.2805386802
         115,    0.005784197629,       -4.42139507,      -3.970086098,      -9.355562449,                         5,     -0.4002363642,                 5,     0.07279965826,      0.2787747346
         116,    0.005791501897,      -4.409991544,      -3.958978449,      -9.357431693,                         5,     -0.3005835746,                 5,     0.07271735384,      0.2784722283
         117,    0.005797442322,      -4.375496543,      -3.926913631,      -9.358418582,                         5,     -0.3007405556,                 5,     0.07265765906,      0.2780012277
         118,    0.005801828807,      -4.325445733,      -3.884771974,      -9.358049036,                         5,     -0.3681461688,                 5,     0.07268359222,      0.2769755466
         119,    0.005787425283,      -4.230724228,      -3.794226297,      -9.349768625,                         2,     -0.6308130887,               5.5,     0.07245077645,      0.2735737834
         120,    0.005791600314,      -4.288552254,      -3.857199756,      -9.338631532,                         5,     -0.7247504893,              6.05,     0.07146455006,      0.2704978134
         121,    0.005789713885,      -4.316521297,      -3.887176979,      -9.329546494,                         4,     -0.6980935475,             6.655,     0.07203040716,      0.2672857368
         122,    0.005788948041,      -4.384856028,      -3.959345588,      -9.324155955,                         4,     -0.6882378025,            7.3205,     0.07196619606,      0.2659014019
         123,    0.005794874532,      -4.435322284,      -4.008941949,      -9.321923474,                         5,     -0.6216326238,           8.05255,     0.07196621509,      0.2668472334
         124,    0.005800733248,      -4.450023968,      -4.024428003,      -9.319366375,                         5,     -0.4717093778,           6.44204,      0.0722006108,      0.2679999509
         125,    0.005804336548,      -4.431325964,      -3.988426603,      -9.319171103,                         5,     -0.5120380536,          5.153632,     0.07202372329,      0.2683337173
         126,    0.005803429228,      -4.552197343,      -4.118735331,      -9.317791695,                         4,     -0.6658171763,         5.6689952,     0.07213213492,       0.269448397
         127,    0.005806196516,      -4.561844152,      -4.117175979,      -9.316532165,                         5,     -0.3914886747,                 5,     0.07221463938,      0.2700391411
         128,    0.005810737008,      -4.576115705,      -4.132226829,      -9.315247009,                         5,      -0.548548223,                 5,     0.07260081409,      0.2705207999
         129,      0.0058145392,       -4.57782873,      -4.128076564,      -9.316286561,                         5,     -0.3832713659,                 5,     0.07251462769,      0.2716187665
         130,     0.00581745974,      -4.486680262,      -4.033467206,      -9.316954022,                         5,     -0.7344784053,               5.5,     0.07293961641,      0.2778092799
         131,    0.005820835106,      -4.435067357,      -3.979597936,      -9.313786076,                         5,     -0.5603135142,               5.5,     0.07272569708,      0.2790352767
         132,    0.005823891128,      -4.454612033,      -3.998123389,      -9.308368138,                         5,     -0.6073296123,              6.05,     0.07212365233,      0.2755633954
         133,    0.005829039619,      -4.446493313,      -3.996142222,      -9.303977683,                         5,     -0.4931740331,                 5,      0.0718193412,      0.2733352523
         134,    0.005832461496,       -4.34873794,      -3.898924856,      -9.302288075,                         5,      -0.401915368,                 5,     0.07162160081,      0.2723715129
         135,    0.005835881779,      -4.420819971,      -3.976057874,      -9.300433214,                         5,     -0.5795126636,                 5,     0.07094452529,      0.2707481385
         136,    0.005833547664,        -4.2472299,      -3.796586036,      -9.295270948,                         4,     -0.6465546782,               5.5,     0.07006248492,      0.2714081436
         137,    0.005830524833,      -4.225103636,      -3.774035769,      -9.291490252,                         4,     -0.6490733079,              6.05,     0.06977377845,      0.2722146237
         138,     0.00582330046,      -4.260099749,      -3.810595017,      -9.289816219,                         3,     -0.6496097639,             6.655,     0.06945956423,      0.2734424623
