"Mach","Points:0","Points:1","Points:2"
8.979337692261e+00,-5.139700137079e-03,1.546123530716e-02,0.000000000000e+00
8.979323387146e+00,-4.348595160991e-03,1.631014794111e-02,0.000000000000e+00
8.979320526123e+00,-4.054810386151e-03,1.664303429425e-02,0.000000000000e+00
8.979362487793e+00,-4.076841752976e-03,1.854803040624e-02,0.000000000000e+00
8.979336738586e+00,-2.995180897415e-03,1.962856389582e-02,0.000000000000e+00
8.979416847229e+00,-7.651033811271e-03,1.377130486071e-02,0.000000000000e+00
8.979353904724e+00,-3.917168360204e-03,1.825332827866e-02,0.000000000000e+00
8.979382514954e+00,-5.887201987207e-03,1.608261838555e-02,0.000000000000e+00
8.979363441467e+00,-6.037021521479e-03,1.475252583623e-02,0.000000000000e+00
8.979343414307e+00,-5.166259594262e-03,1.569565571845e-02,0.000000000000e+00
8.979333877563e+00,-4.514195956290e-03,1.636373624206e-02,0.000000000000e+00
8.979330062866e+00,-4.478532820940e-03,1.633159630001e-02,0.000000000000e+00
8.979326248169e+00,-4.278537351638e-03,1.649152860045e-02,0.000000000000e+00
8.979322433472e+00,-4.147866740823e-03,1.658418402076e-02,0.000000000000e+00
8.979308128357e+00,-1.066743861884e-03,2.110424824059e-02,0.000000000000e+00
8.979317665100e+00,-2.013522200286e-03,2.045054174960e-02,0.000000000000e+00
8.979290008545e+00,0.000000000000e+00,2.132188156247e-02,0.000000000000e+00
8.979557037354e+00,-1.205580495298e-02,6.833432707936e-04,0.000000000000e+00
8.979556083679e+00,-1.206590048969e-02,0.000000000000e+00,0.000000000000e+00
8.979556083679e+00,-1.205433253199e-02,5.687236553058e-04,0.000000000000e+00
8.979556083679e+00,-1.205872371793e-02,3.728560404852e-04,0.000000000000e+00
8.979556083679e+00,-1.206257194281e-02,1.806361105992e-04,0.000000000000e+00
8.979557037354e+00,-1.203584019095e-02,1.226488733664e-03,0.000000000000e+00
8.979557037354e+00,-1.204882562160e-02,8.868171717040e-04,0.000000000000e+00
8.979557037354e+00,-1.203969959170e-02,1.079379348084e-03,0.000000000000e+00
8.979565620422e+00,-1.224186271429e-02,0.000000000000e+00,0.000000000000e+00
8.979563713074e+00,-1.217722147703e-02,6.772632477805e-04,0.000000000000e+00
8.979562759399e+00,-1.212973240763e-02,1.049066893756e-03,0.000000000000e+00
8.979560852051e+00,-1.208690833300e-02,1.333710155450e-03,0.000000000000e+00
8.979572296143e+00,-1.239549741149e-02,0.000000000000e+00,0.000000000000e+00
8.979568481445e+00,-1.230429299176e-02,0.000000000000e+00,0.000000000000e+00
8.979578971863e+00,-1.233709882945e-02,2.887556562200e-03,0.000000000000e+00
8.979579925537e+00,-1.246824674308e-02,1.447397749871e-03,0.000000000000e+00
8.979574203491e+00,-1.237587537616e-02,1.316627021879e-03,0.000000000000e+00
8.979388237000e+00,-6.924372166395e-03,1.364958472550e-02,0.000000000000e+00
8.979383468628e+00,-6.639195606112e-03,1.416969206184e-02,0.000000000000e+00
8.979437828064e+00,-8.596347644925e-03,1.211611833423e-02,0.000000000000e+00
8.979407310486e+00,-7.482194341719e-03,1.334985997528e-02,0.000000000000e+00
8.979474067688e+00,-1.003723498434e-02,9.982462972403e-03,0.000000000000e+00
8.979509353638e+00,-1.104800403118e-02,8.289111778140e-03,0.000000000000e+00
8.979551315308e+00,-1.197150442749e-02,5.484780296683e-03,0.000000000000e+00
8.979522705078e+00,-1.145294029266e-02,6.986495107412e-03,0.000000000000e+00
8.979563713074e+00,-1.207229122519e-02,4.165119957179e-03,0.000000000000e+00
8.979544639587e+00,-1.181385386735e-02,5.395853891969e-03,0.000000000000e+00
8.979539871216e+00,-1.176049746573e-02,5.169506184757e-03,0.000000000000e+00
8.979559898376e+00,-1.204933319241e-02,1.538192387670e-03,0.000000000000e+00
8.979559898376e+00,-1.204407121986e-02,1.752078067511e-03,0.000000000000e+00
8.979557991028e+00,-1.201717182994e-02,1.696320599876e-03,0.000000000000e+00
8.979557991028e+00,-1.202142238617e-02,1.551718916744e-03,0.000000000000e+00
8.979557037354e+00,-1.201802492142e-02,1.473068259656e-03,0.000000000000e+00
8.979388237000e+00,-7.063975557685e-03,1.334427762777e-02,0.000000000000e+00
8.979400634766e+00,-7.565143518150e-03,1.272759586573e-02,0.000000000000e+00
8.979387283325e+00,-7.079738657922e-03,1.324356254190e-02,0.000000000000e+00
8.979365348816e+00,-6.206310354173e-03,1.430620066822e-02,0.000000000000e+00
8.979376792908e+00,-6.682449020445e-03,1.371323224157e-02,0.000000000000e+00
8.979354858398e+00,-5.883015226573e-03,1.464137900621e-02,0.000000000000e+00
8.979346275330e+00,-5.561737809330e-03,1.498119905591e-02,0.000000000000e+00
8.979339599609e+00,-5.285100545734e-03,1.526965852827e-02,0.000000000000e+00
8.979326248169e+00,-4.576961975545e-03,1.603747904301e-02,0.000000000000e+00
8.979332923889e+00,-4.933705553412e-03,1.565481163561e-02,0.000000000000e+00
8.979325294495e+00,-4.569438751787e-03,1.601284556091e-02,0.000000000000e+00
8.979321479797e+00,-4.319197963923e-03,1.629029586911e-02,0.000000000000e+00
8.979317665100e+00,-3.950130660087e-03,1.671774312854e-02,0.000000000000e+00
8.979319572449e+00,-4.189020488411e-03,1.644904725254e-02,0.000000000000e+00
8.979316711426e+00,-3.634766908363e-03,1.709069684148e-02,0.000000000000e+00
8.979314804077e+00,-3.636837936938e-03,1.705529913306e-02,0.000000000000e+00
8.979330062866e+00,-2.792279236019e-03,1.940399035811e-02,0.000000000000e+00
8.979310989380e+00,-2.124427817762e-03,2.006100304425e-02,0.000000000000e+00
8.979392051697e+00,-7.098354864866e-03,1.409179903567e-02,0.000000000000e+00
8.979379653931e+00,-5.932086613029e-03,1.569408550858e-02,0.000000000000e+00
8.979326248169e+00,-2.665306674317e-03,1.918990910053e-02,0.000000000000e+00
8.979351043701e+00,-4.027699120343e-03,1.778884604573e-02,0.000000000000e+00
8.979367256165e+00,-6.045939866453e-03,1.509784627706e-02,0.000000000000e+00
8.979351997375e+00,-5.406043492258e-03,1.564567722380e-02,0.000000000000e+00
8.979341506958e+00,-5.048803519458e-03,1.592465862632e-02,0.000000000000e+00
