"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
1498, 9.443821097313219e-01, 0.000000000000000e+00, -8.914030172056187e-02, 1.020179331435628e+00, 1.003203685657146e+00, 1.964198435568529e-03, 9.707662469779477e-02, 3.091519892760994e+00, 1.037457605249148e+00, 1.003374997114707e+00, 8.279923876341355e-01, 4.788342405541979e-02
1499, 1.247336877898775e+00, 1.170607402609448e+00, 9.914415747627843e-03, 9.611764806205353e-01, 7.718921627745707e-01, -1.341215589230916e-03, -8.375396438743950e-02, 2.868293958822964e+00, 1.021880882045711e+00, 1.048978472309403e+00, 6.621145929774745e-01, 1.672997764854456e-02
1500, 1.089074722559346e+00, 1.501389739001427e+00, 1.008429451863196e-02, 9.029867183454627e-01, 1.010493235052416e+00, -4.517877877617683e-02, 2.136353156034682e-01, 2.779559710114387e+00, 8.751032930342473e-01, 9.561970339791475e-01, 9.829000190768938e-01, -2.768252003743821e-01
1501, 6.673714666253261e-01, 0.000000000000000e+00, -8.743846127328055e+00, 1.000005233897869e+00, 9.984724816190653e-01, -1.070994398475179e-04, 5.339168003326789e-02, 3.033775469082680e+00, 1.013551638292177e+00, 1.000030034331921e+00, 8.393981989415091e-01, 7.149014147733725e-05
1502, 1.332030848863036e+00, 1.483437710814886e+00, 6.973835719852153e-03, 9.028862773705669e-01, 8.089005375271167e-01, -2.206737179879823e-01, 1.302618665258782e-01, 2.724101216120724e+00, 9.301552575023181e-01, 1.016463596296236e+00, 7.825345022150554e-01, -1.667212714382405e-01
1503, 8.881394424635406e-01, 1.488102033818059e+00, 1.166722349139475e-02, 7.771917028677404e-01, 9.105492779722305e-01, 5.405517874002398e-03, 2.218913158273252e-01, 2.408262695092635e+00, 7.372694783162227e-01, 9.359820851323573e-01, 1.046396501131213e+00, -5.524928298104314e-01
1504, 1.299706201235754e+00, 1.484076870060613e+00, 1.087091006281766e-02, 9.250476677869796e-01, 8.200324635670395e-01, -1.840026213263557e-01, 5.615147108678388e-02, 2.783814247014048e+00, 9.601361561107483e-01, 1.024090054350218e+00, 7.553573309124831e-01, -1.067594742213800e-01
1505, 8.699061341504891e-01, 1.483951077507355e+00, 1.086436573792371e-02, 6.542016745576639e-01, 8.452887278637625e-01, 1.539161938430444e-01, 2.366281858534242e-01, 2.064680377576531e+00, 5.830735898505468e-01, 8.793892570223732e-01, 1.219501540926174e+00, -8.608846067417831e-01
1506, -2.523552478352258e-01, 0.000000000000000e+00, 4.317812308750888e-01, 1.024274390006960e+00, 9.915426558546021e-01, 7.246974437753653e-03, 6.859524823627086e-02, 3.098894180942716e+00, 1.046657278744950e+00, 1.008225367812464e+00, 8.113071291859756e-01, 6.628277104702331e-02
1507, 9.914198685329489e-01, 2.655735370926712e-02, 1.985642040737543e-03, 1.069461882519719e+00, 8.887030839246370e-01, 1.172204850716205e-02, -9.651210202750977e-02, 3.198504166384636e+00, 1.129934878312078e+00, 1.042455538130466e+00, 6.873321021996462e-01, 2.328379701812789e-01
